sub_field_name,sub_field_id,topic_name,topic_id,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Artificial Intelligence,https://openalex.org/subfields/1702,Machine Learning and Algorithms,https://openalex.org/T12072,26,26,21,27,35,35,30,27,39,39,27,38,45,34,41,42,52,84,120,154,168,193,224,219,279,293,294,259,255,223,245,199,541,400,347,411,407,435,450,478,513,504,521,526,529,559,520,555,597,646,634,698,402,462,503
Artificial Intelligence,https://openalex.org/subfields/1702,Machine Learning and Data Classification,https://openalex.org/T12535,11,12,12,12,12,17,7,9,15,12,11,16,9,14,7,15,35,17,37,32,20,42,32,45,53,57,60,67,66,68,85,67,143,130,133,199,205,199,209,215,260,280,292,304,372,475,488,606,721,926,1039,1235,960,1090,1199
Artificial Intelligence,https://openalex.org/subfields/1702,Machine Learning and ELM,https://openalex.org/T12676,1,1,0,0,0,1,2,0,1,0,4,0,0,2,4,0,3,2,5,4,10,9,5,5,6,9,8,13,14,5,14,13,33,23,21,30,60,59,72,104,104,171,281,382,521,675,699,836,897,947,891,900,966,966,912
Artificial Intelligence,https://openalex.org/subfields/1702,Machine Learning in Healthcare,https://openalex.org/T13702,14,7,8,15,20,12,23,18,13,16,18,20,16,25,19,11,16,36,31,34,44,41,32,27,33,51,49,45,45,41,46,49,37,67,45,71,76,85,88,108,100,131,179,207,248,292,392,454,620,905,1006,1030,1078,1324,1912
Artificial Intelligence,https://openalex.org/subfields/1702,Mathematical Control Systems and Analysis,https://openalex.org/T13935,125,92,110,88,98,130,91,94,93,96,85,73,87,100,85,104,120,88,113,112,120,103,117,94,99,90,80,128,138,117,110,118,116,121,125,154,143,165,192,212,245,284,288,313,320,306,288,276,336,334,319,314,225,214,224
Artificial Intelligence,https://openalex.org/subfields/1702,Metaheuristic Optimization Algorithms Research,https://openalex.org/T10100,29,22,28,17,26,33,30,25,34,22,19,22,16,26,38,37,26,57,64,76,79,104,128,158,173,197,247,258,256,281,344,353,877,679,755,924,1110,1242,1466,1807,1981,1813,2014,2077,2115,1994,1981,1987,1981,2215,2222,2321,2399,2210,1955
Artificial Intelligence,https://openalex.org/subfields/1702,Multi-Agent Systems and Negotiation,https://openalex.org/T10456,20,25,12,14,25,15,17,19,36,33,35,26,42,37,64,54,96,95,124,109,147,154,169,225,242,264,330,418,456,631,686,733,1459,1233,1286,1257,1457,1263,1253,1227,1100,1174,1037,947,861,820,688,655,658,551,475,446,290,353,492
Artificial Intelligence,https://openalex.org/subfields/1702,Natural Language Processing Techniques,https://openalex.org/T10181,320,273,268,386,322,337,323,367,407,372,420,482,523,543,637,591,796,764,879,928,1082,1038,1220,1264,1450,1222,1546,1558,1957,1734,2465,2341,3101,3096,3786,3780,4353,4558,5089,5360,5827,5650,5980,5810,6292,5759,6132,5497,5829,5979,6416,5562,4140,4917,6511
Artificial Intelligence,https://openalex.org/subfields/1702,Neural Networks and Applications,https://openalex.org/T10320,484,471,455,405,397,434,408,446,462,423,430,434,475,542,519,574,719,943,1330,1701,2063,2556,2662,2574,2932,2643,2858,2794,2787,2474,2795,2476,8818,5173,3386,4477,4070,3491,3478,3624,3632,3470,3221,3258,3177,3115,3363,3382,3901,4345,3822,3400,2494,2814,5858
Artificial Intelligence,https://openalex.org/subfields/1702,Neural Networks and Reservoir Computing,https://openalex.org/T12611,9,8,11,6,8,10,9,16,4,9,5,6,8,12,19,32,36,61,74,94,87,98,77,85,42,53,49,51,50,39,52,47,122,85,83,100,113,123,128,161,195,198,226,252,267,303,358,451,568,811,983,1228,1467,1803,1909
